Topic_Coeff_Diff,Percentile
0.3789360911204274,1.0
0.35903369430389265,0.9474782231544957
0.3319905996596881,0.8761123773617544
0.31391798069084165,0.828419324648275
0.3071554866848725,0.8105733232658942
0.3027413945101665,0.7989246778131621
0.29895695646542686,0.7889376690973917
0.29697489062763077,0.7837070619205045
0.29619655836919695,0.781653068445952
0.2925763411824686,0.7720994332247088
0.2911988996908632,0.7684644100007857
0.2809970143261151,0.7415419668664212
0.27331699878588106,0.7212746560448892
0.2703692758530157,0.7134957112519832
0.26507776147252593,0.6995315771816603
0.2644762225679212,0.6979441356085282
0.26383108190063903,0.6962416304040896
0.26230052142514143,0.6922025311697778
0.25913807005038486,0.6838569250138534
0.25262471540458087,0.6666683942868237
0.2505430713353359,0.6611750034010676
0.24823797502589046,0.6550919293327471
0.2442832273387722,0.6446554790188566
0.24358241505786943,0.6428060582396675
0.24330734451093103,0.6420801560271728
0.24076936943972183,0.6353825224929667
0.23921165048611967,0.6312717529196691
0.23786222749261757,0.6277106695994918
0.23575456911620868,0.6221486278045891
0.2344906251567332,0.6188131208705879
0.23397936694092156,0.6174639270941389
0.23385711569832698,0.6171413100474672
0.2327311971958646,0.6141700477981172
0.23181960184457226,0.6117643773627756
0.2312455397531389,0.6102494462045004
0.23063215890644714,0.6086307541319713
0.2302241377689028,0.6075539996419519
0.22934633105437724,0.6052374963183172
0.22818368281858187,0.6021693054992331
0.22765507097550058,0.6007743160657423
0.22570052396821846,0.5956163301861103
0.22516870470274755,0.5942128764694203
0.22484267848157652,0.5933525038925908
0.21850436180867866,0.5766258926739103
0.21818982610807047,0.5757958432065233
0.2162416234735224,0.5706545999198581
0.21425019002146783,0.5653992719141082
0.21381575332309297,0.5642528076195874
0.21298876547051238,0.5620704136171175
0.21278483955124766,0.5615322597594004
0.21005001168912274,0.5543151381227712
0.20828698982655092,0.5496625808607829
0.20815942944376398,0.5493259531660976
0.20756291701629814,0.5477517763023892
0.2074534345180163,0.5474628555559959
0.20644616970207658,0.5448047165200401
0.20631496737316282,0.5444584778481686
0.20596175852925822,0.5435263712154637
0.2057551110188076,0.5429810351672674
0.20334030771114123,0.5366084479045277
0.20242456169332732,0.5341918239954504
0.20023328165734938,0.5284091073650581
0.1998737902352183,0.5274604212130789
0.1979728397952797,0.5224438749286701
0.19640738310485426,0.5183126857199654
0.1922428175035581,0.5073225327657231
0.19186640111063952,0.5063291821671945
0.19179895155395368,0.5061511849843809
0.19114060847819042,0.5044138390540508
0.18977012238649357,0.5007971709039027
0.18951699617753803,0.500129179084472
0.18950717353295177,0.5001032574453976
0.1890929364989759,0.49901009940718843
0.18792057792019667,0.4959162833093002
0.1866818169707959,0.49264723351850814
0.18572298662926823,0.49011691148269304
0.18556849501904985,0.4897092131561452
0.1840838429023443,0.4857912645851454
0.1756285186343599,0.46347793928803804
0.17551179928061558,0.4631699207158318
0.17327211887513738,0.45725947708705
0.16750937473056682,0.44205178302040293
0.16491685042498866,0.4352101958337281
0.1623556791735478,0.42845134833554427
0.15979111113329386,0.4216835368223387
0.15939791185128105,0.42064589672622066
0.1572598355265169,0.4150035829565231
0.15658046228877198,0.41321073911381556
0.156485215667422,0.41295938638288837
0.15623320590793546,0.4122943408372361
0.15324437569491173,0.4044069152711296
0.15005877720094465,0.3960002246216642
0.1498693230879622,0.39550026138928296
0.14961532938714533,0.3948299802870901
0.14937928706182702,0.39420707228004226
0.148954970377179,0.3930873143720705
0.14782032707465906,0.3900930276595933
0.14757393333894048,0.3894428026177134
0.14660512893200348,0.38688615934820464
0.1451547258693227,0.3830585929150569
0.14133708177815713,0.3729839545245101
0.13722985020197626,0.36214510419479695
0.1369445586645414,0.36139222912134766
0.13653883746881523,0.36032154410286205
0.13264174522529193,0.35003724462639757
0.1325873056643542,0.3498935803985412
0.13233327427290278,0.34922319983199157
0.1317891455724517,0.34778726191738907
0.13055275594043647,0.34452446995592795
0.12900328867556554,0.3404354763203798
0.1289487911222801,0.340291659052607
0.12732091011983204,0.33599573411804934
0.12268074927409045,0.3237505008070134
0.12263027151284363,0.3236172916394792
0.12018013312863934,0.31715145626085434
0.11806004357815958,0.3115566090025445
0.1131499007698747,0.29859890208746365
0.11264447340388256,0.2972650957337386
0.11122228699931283,0.2935119921421418
0.11052115566403861,0.2916617293888603
0.10752574220908458,0.2837569308617596
0.10726219672659107,0.28306144291888713
0.10485845398715159,0.27671804413538204
0.10390004507607019,0.27418883424078583
0.10305465095610566,0.27195786669830424
0.1014992626349401,0.26785324758808265
0.1013720715218332,0.26751759438405337
0.09990334139455072,0.263641663424456
0.09978185918896681,0.26332107584140285
0.09702372769004833,0.2560424566664298
0.09667213129133026,0.25511460522404417
0.0951516653539262,0.2511021451469151
0.09402327886727077,0.24812436996767825
0.09223776646412926,0.2434124609017929
0.09144262926315623,0.24131411973132796
0.0907120216426019,0.23938607002143075
0.08925897647559058,0.23555153116102556
0.08916581795136691,0.23530568885039155
0.08860478620211185,0.23382514434063997
0.08697936581949735,0.22953571290166436
0.08623787829739353,0.2275789514860087
0.08598554702224588,0.22691305747100063
0.08494903061719591,0.22417772444430153
0.08473717113997051,0.22361863418557482
0.08196196905241891,0.2162949662833015
0.08166119498196218,0.21550123330957655
0.0810656269380008,0.21392954864317165
0.08073435687561528,0.21305533774020374
0.08067860526592316,0.21290821105842667
0.08006871911422994,0.21129874137215338
0.07739318073236245,0.20423808274247118
0.07705231561496148,0.2033385508018922
0.0767629675825119,0.2025749707702461
0.07397765972231687,0.19522463406317894
0.0732945089524987,0.19342182143638942
0.07163445823993457,0.1890410016848167
0.06778335807077679,0.17887807379433532
0.06696310839257247,0.17671346161453733
0.06485907864531115,0.17116099565374646
0.06455407285017553,0.1703560952964493
0.0624254325549709,0.16473868290136515
0.061019786003600834,0.1610292274435493
0.06099264855827642,0.16095761260938513
0.06081222045288062,0.1604814687169881
0.059545682499749314,0.15713911631823282
0.0592173116685451,0.15627255639190515
0.05659909320638344,0.1493631631630359
0.05598094173871146,0.14773188157715095
0.050851823242311085,0.1341963049546267
0.05041011747674526,0.13303065782859072
0.04936641350387047,0.13027635704454876
0.046859561511056386,0.12366085630034175
0.046223237562732354,0.1219816181300145
0.046196822400353624,0.12191190937701442
0.04547638669769568,0.12001070302707878
0.04542330139701267,0.11987061264791736
0.045308384700243995,0.11956735122874534
0.04513283733360321,0.11910408744692469
0.04356719354159236,0.11497240448323126
0.04341603644867248,0.11457350583920677
0.04276070857126986,0.11284411691912538
0.04229914201014942,0.11162605780061889
0.04060955477626789,0.10716729213149034
0.037715687162701614,0.09953046977178907
0.036806247374025505,0.09713048779597067
0.036253383606166256,0.09567149832303723
0.03427942255458055,0.09046227941293249
0.033668629399990366,0.08885041617556122
0.029584226150912996,0.07807180905740385
0.02843776260048181,0.07504632909575291
0.027042107872980087,0.07136324173562554
0.026750531204593156,0.07059378040634226
0.02667969051951599,0.07040683414617553
0.024312039589751706,0.06415868047265322
0.022868608462996542,0.06034951275129084
0.022266080999009813,0.05875946240215362
0.01956838106543811,0.05164032015947301
0.018604791723740383,0.049097439277241355
0.018600486546457365,0.04908607805463971
0.018306477077701867,0.04831019664443626
0.015933902439066942,0.04204904946360225
0.015122969868292771,0.03990902482679231
0.014760346378702785,0.038952073250821305
0.0146260587916065,0.03859769268311336
0.013964774598245893,0.036852585239255636
0.011869108074507959,0.031322189552897214
0.011720313192219563,0.03092952470577631
0.011346663276988161,0.02994347475174157
0.009887234513739324,0.026092089788821726
0.009360714978646767,0.02470262188795285
0.007945906618085606,0.020968988714142735
0.004221053112876211,0.011139221657128308
0.0032232439651938977,0.008506035821669828
0.0024440461461297386,0.0064497581608108446
0.002417898195030299,0.006380754569671964
0.00015036457721638585,0.0003968072209004747
