,coeffDiff
111,0.0009475427905692446
277,0.0038600427815633775
203,0.011788808747892732
114,0.013046711846346093
280,0.021153360617407968
199,0.02387755511565509
263,0.02567955651029863
7,0.03107013661049346
5,0.033391833999553144
361,0.033893208633896554
345,0.035709587229524276
73,0.0393852179538558
136,0.04744178317840081
214,0.05097384989163428
58,0.052480311412377634
189,0.05389790409181516
351,0.05443686051696289
79,0.05495193665293896
238,0.06044006417674669
320,0.06081817356473185
211,0.06779873325148456
309,0.07264953100984745
264,0.07336125683282446
129,0.0742088664048508
249,0.0750058032455993
293,0.07618301840181047
230,0.07827932767986434
377,0.078833901753248
168,0.07890952853540928
143,0.08983568910396705
59,0.0932969228675784
306,0.10662036731693242
262,0.10669534104851708
308,0.10720267057138455
312,0.10828743154576792
75,0.11211034848599027
257,0.1128039757342083
68,0.1158686027188342
338,0.11796632525583711
36,0.11853923520246273
180,0.1189482744894122
271,0.12064289618461488
90,0.12732977822695773
330,0.12783369668009914
178,0.12846018623347655
46,0.1296070551570257
71,0.1357655946553606
221,0.13941174674291645
254,0.1437102648856805
10,0.14600347946911135
245,0.1486594294648203
212,0.1496486905847358
142,0.1504242288222355
374,0.15293002932359562
80,0.1530873495164528
32,0.15370815301221868
299,0.15393231174213995
225,0.1594692839305607
21,0.16238732778463988
208,0.16597777052373297
27,0.17120581116534583
181,0.1767966043184256
120,0.1772471799960666
378,0.18029940079515272
353,0.1810525039819722
278,0.18152331742727046
344,0.18378986329142444
382,0.18572274146531648
359,0.18633512543889807
115,0.18721825326995467
253,0.18790366840416245
60,0.19465484770637906
54,0.19628061046270578
240,0.19939653191063822
172,0.2009190526464481
220,0.20375678380038337
50,0.20396974266076873
283,0.2077802654913657
102,0.2080112469224058
376,0.21045686635859961
209,0.21139949738498914
276,0.21550516208954296
192,0.2186913372989474
295,0.22002046833732364
126,0.22357679105668926
336,0.2269562088778238
255,0.23104392451646438
104,0.23128422940383198
223,0.2344432443329485
182,0.23640128855942566
380,0.2370699244402116
151,0.24236171651972221
1,0.24705517469714044
167,0.25083821091216285
365,0.2541655798490466
62,0.25466438629031685
164,0.2561728281218597
161,0.2574522122407023
341,0.2676359515559552
186,0.27019374520275435
269,0.2738895693821454
177,0.27701971497079486
127,0.27735252797615356
29,0.27996141619213105
298,0.28110370618573866
123,0.28247599770584353
279,0.28537726659667517
319,0.28752148798467236
159,0.28786820846867406
206,0.29585851221963627
300,0.2979419408212558
323,0.30137539992298035
24,0.3013900489177691
357,0.30259866270146385
197,0.30347475920991884
385,0.3075556125183871
190,0.3131876584630783
185,0.31404198562790236
234,0.32352921874627627
138,0.3319276585823544
117,0.33263053651624397
354,0.33443184721662655
232,0.3352705780481824
16,0.3365776875547311
235,0.33686732624295035
122,0.3384264824723093
362,0.3392557911808919
347,0.3399959864997864
227,0.3400635261625896
107,0.35982113114422704
4,0.3693667646962785
19,0.37108615804901723
243,0.3732109302439389
339,0.3808559793471601
109,0.38492064334688186
218,0.38506007436860057
40,0.38838088576500235
33,0.3921673150824659
43,0.39302546830165686
251,0.40153975393468966
53,0.40234619622063944
322,0.4044879931012268
349,0.40536124884033314
324,0.40835551752961047
91,0.40962181594613456
105,0.4149139254676985
326,0.4160565567360738
72,0.4166139007780471
281,0.4189273966627114
242,0.42555907450190866
383,0.42924508573909836
171,0.4353191795314373
335,0.43549390681764516
327,0.43578692239049266
343,0.436381221779224
373,0.44373250657078883
94,0.4466601605412903
61,0.4510372689550285
26,0.45936827967653043
265,0.4604070645171894
99,0.46040796703365877
133,0.46052709814811726
116,0.4606349158198579
11,0.46249026850947556
287,0.46322558548204895
301,0.46513379767248364
179,0.467370621879548
201,0.4718827782378471
358,0.4739976085227505
239,0.4742193454531376
96,0.48048815205351647
273,0.4820776986234837
37,0.4828151534668793
148,0.4832326422921886
297,0.48410137636052364
252,0.48978287727362957
165,0.49034904085991193
294,0.5016973011898519
141,0.5035386891526162
121,0.5038168589628009
215,0.5043243985433579
379,0.5090404226116076
89,0.5117504078707431
170,0.5168981655031111
360,0.5178440897338458
52,0.5178583744338582
166,0.519548937181108
318,0.5219697175888627
291,0.5263593746898577
372,0.5269414966468722
132,0.5288710589861177
144,0.5293393156344007
259,0.5304556308242168
78,0.5339843983828569
14,0.5354541624907871
364,0.5362638045408762
200,0.5365827835813827
224,0.537521242595391
81,0.5406675223252018
162,0.5598241142449659
12,0.5658359833472544
325,0.5664404763276063
305,0.5793387416709247
340,0.5807248412877946
195,0.5839876490431294
3,0.5842134052114107
28,0.5843327999658003
292,0.591874998476634
112,0.59702001184244
124,0.5986139160664717
130,0.5986857289166404
275,0.6044955957044855
83,0.6226797948076789
288,0.6239128134326042
82,0.6248825662894141
169,0.6274613736479477
183,0.628220738824764
34,0.6294717510270504
48,0.6337024067697867
247,0.6351556654683348
337,0.6353916667084258
290,0.6482129334541173
84,0.6516236034823979
284,0.6525737293207453
369,0.6560141480597811
371,0.6575677918787313
118,0.6615422929451306
158,0.6642581315709462
2,0.665644041094792
8,0.6659947233446153
157,0.6698660019770084
266,0.672371062705572
193,0.6745037485926861
6,0.6865310853751899
49,0.6907790031104191
63,0.6986524174366668
163,0.6990793775452994
317,0.7019480190711701
70,0.7058476889101203
125,0.7078777471340911
346,0.7134330522804087
152,0.7271055462015722
160,0.7278436372021312
98,0.7310028666695795
261,0.7315574979490239
108,0.7396812301800205
274,0.7454630727768463
30,0.754019623506289
86,0.7705709974223629
384,0.7717517616762928
229,0.7720857566767892
260,0.7730581547905008
333,0.7758441728500716
42,0.8010254806188001
64,0.8116122623025264
38,0.8132026852604151
370,0.8164008774008246
202,0.820852733144348
103,0.8273936027650906
355,0.8334386909026966
74,0.8386112785162705
334,0.8416022620763536
321,0.849383574041343
270,0.8670684181060551
44,0.8676294797451068
356,0.8710797934410766
226,0.8778801552245206
173,0.8850803662640793
92,0.8852264202462738
367,0.8877208821914697
236,0.8928754564081642
149,0.9066944817093008
233,0.9099544983879891
101,0.9316355773606353
304,0.9396332820562033
154,0.9499926886684915
88,0.9588681747545357
311,0.978421887652424
381,0.9818152643704523
55,0.9823824335976042
135,0.9830631866265376
191,0.9833299966451242
302,0.9871769378829192
25,0.9902890259677348
375,0.9916649490848631
368,0.9918015479620302
315,0.9943169894290127
303,0.9946794637869557
217,0.9948968496007422
314,0.9952143328009663
22,0.995281900094786
95,0.995433010725878
175,0.9955743944319912
286,0.9956699781908662
100,0.9957436310910084
47,0.9958667954238478
15,0.9958839173560289
65,0.995884061562257
332,0.9959670855926547
134,0.9960777237508442
9,0.9961081993975319
348,0.9961676486283337
45,0.9963228180198788
57,0.9965389633566848
51,0.9965979387583497
139,0.9966548541251005
110,0.996709808516615
97,0.9967205411208299
56,0.9967207767991815
204,0.9967314862198184
93,0.9971174914902212
352,0.9971983164801607
213,0.9972446325182013
250,0.9972597846035608
18,0.9972670891186582
237,0.9974087580404326
272,0.9975363818314652
23,0.9977473417954459
246,0.9977573370236167
17,0.9979119287482864
140,0.9979955198672226
350,0.99804273541281
228,0.9981613676014801
241,0.9981814545319688
268,0.9982139023857336
188,0.9982695467270462
176,0.9982902538563269
244,0.9983161131692395
146,0.998343944124314
106,0.9983867428084718
219,0.9985026879424614
41,0.9985247858047716
207,0.9985872702777098
131,0.9986502203490053
128,0.9986717221923558
205,0.9986908830946084
147,0.9987027253098194
145,0.9987061009929853
156,0.9987497293041417
285,0.9987574651581912
196,0.9988383056749963
310,0.9989139639688259
210,0.9989151977731939
20,0.9990940152505784
316,0.999147337878769
363,0.9991979120021859
307,0.9997389397761395
